id,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,game,min,oreb,pf,player,pts,reb,stl,team,turnover
8504349,6,3,14,33.3,3,1,17.6,17,3,60.0,10,6,"{'id': 473730, 'date': '2021-12-01T00:00:00.000Z', 'home_team_id': 2, 'home_team_score': 88, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 23, 'visitor_team_score': 87}",33:14,4,1,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",13,18,2,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",0
8554229,4,2,11,33.3,3,1,43.5,23,10,87.5,8,7,"{'id': 473744, 'date': '2021-12-03T00:00:00.000Z', 'home_team_id': 1, 'home_team_score': 96, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 23, 'visitor_team_score': 98}",36:08,1,4,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",28,12,1,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",3
8625759,7,0,14,50.0,2,1,75.0,20,15,85.7,14,12,"{'id': 473766, 'date': '2021-12-06T00:00:00.000Z', 'home_team_id': 4, 'home_team_score': 124, 'period': 5, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 23, 'visitor_team_score': 127}",40:39,1,3,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",43,15,1,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",3
8760559,4,0,9,25.0,4,1,43.8,16,7,100.0,11,11,"{'id': 473802, 'date': '2021-12-11T00:00:00.000Z', 'home_team_id': 23, 'home_team_score': 102, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 10, 'visitor_team_score': 93}",32:31,0,3,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",26,9,2,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",4
9131856,4,1,9,66.7,3,2,68.8,16,11,85.7,14,12,"{'id': 473920, 'date': '2021-12-28T00:00:00.000Z', 'home_team_id': 28, 'home_team_score': 109, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 23, 'visitor_team_score': 114}",34:06,2,2,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",36,11,1,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",2
7450560,6,3,8,40.0,5,2,53.3,15,8,66.7,6,4,"{'id': 473445, 'date': '2021-10-24T00:00:00.000Z', 'home_team_id': 21, 'home_team_score': 103, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 23, 'visitor_team_score': 115}",33:16,1,2,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",22,9,1,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",0
7619382,2,1,5,25.0,4,1,38.5,13,5,88.9,9,8,"{'id': 473495, 'date': '2021-10-30T00:00:00.000Z', 'home_team_id': 23, 'home_team_score': 122, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 1, 'visitor_team_score': 94}",29:43,0,1,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",19,5,0,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",2
9557395,6,1,12,28.6,7,2,46.7,15,7,100.0,9,9,"{'id': 474043, 'date': '2022-01-14T00:00:00.000Z', 'home_team_id': 23, 'home_team_score': 111, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 2, 'visitor_team_score': 99}",32:24,1,2,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",25,13,1,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",2
9637544,1,0,6,75.0,4,3,50.0,20,10,90.0,10,9,"{'id': 474064, 'date': '2022-01-17T00:00:00.000Z', 'home_team_id': 30, 'home_team_score': 117, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 23, 'visitor_team_score': 98}",29:18,2,4,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",32,8,0,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",4
8716412,2,1,8,25.0,4,1,44.4,18,8,100.0,2,2,"{'id': 473789, 'date': '2021-12-09T00:00:00.000Z', 'home_team_id': 23, 'home_team_score': 96, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 29, 'visitor_team_score': 118}",30:13,1,4,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",19,9,3,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",1
8670774,4,0,7,50.0,2,1,47.1,17,8,78.9,19,15,"{'id': 473775, 'date': '2021-12-08T00:00:00.000Z', 'home_team_id': 4, 'home_team_score': 106, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 23, 'visitor_team_score': 110}",32:31,1,4,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",32,8,1,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",1
8885132,6,0,9,33.3,3,1,55.0,20,11,81.8,11,9,"{'id': 473837, 'date': '2021-12-16T00:00:00.000Z', 'home_team_id': 3, 'home_team_score': 114, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 23, 'visitor_team_score': 105}",33:13,0,4,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",32,9,1,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",2
9186992,1,1,5,60.0,5,3,47.8,23,11,75.0,12,9,"{'id': 473933, 'date': '2021-12-30T00:00:00.000Z', 'home_team_id': 3, 'home_team_score': 102, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 23, 'visitor_team_score': 110}",32:02,2,1,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",34,7,3,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",2
9286524,10,2,10,50.0,2,1,60.0,20,12,85.7,7,6,"{'id': 473963, 'date': '2022-01-03T00:00:00.000Z', 'home_team_id': 23, 'home_team_score': 133, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 11, 'visitor_team_score': 113}",29:47,5,2,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",31,15,1,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",6
7735390,7,1,8,20.0,5,1,33.3,18,6,55.6,9,5,"{'id': 473523, 'date': '2021-11-03T00:00:00.000Z', 'home_team_id': 23, 'home_team_score': 103, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 5, 'visitor_team_score': 98}",34:04,1,3,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",18,9,1,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",4
10170633,3,1,9,50.0,4,2,60.9,23,14,90.9,11,10,"{'id': 474210, 'date': '2022-02-06T00:00:00.000Z', 'home_team_id': 5, 'home_team_score': 108, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 23, 'visitor_team_score': 110}",32:01,1,4,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",40,10,0,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",4
8807953,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,"{'id': 473812, 'date': '2021-12-13T00:00:00.000Z', 'home_team_id': 15, 'home_team_score': 126, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 23, 'visitor_team_score': 91}",,0,0,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",0,0,0,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",0
9507398,3,1,5,33.3,3,1,58.8,17,10,71.4,14,10,"{'id': 474030, 'date': '2022-01-12T00:00:00.000Z', 'home_team_id': 23, 'home_team_score': 98, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 4, 'visitor_team_score': 109}",32:41,1,3,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",31,6,0,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",7
9801095,6,1,9,33.3,3,1,50.0,32,16,83.3,6,5,"{'id': 474112, 'date': '2022-01-23T00:00:00.000Z', 'home_team_id': 27, 'home_team_score': 109, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 23, 'visitor_team_score': 115}",31:40,3,2,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",38,12,0,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",1
9590349,3,1,9,0.0,3,0,54.5,22,12,72.7,11,8,"{'id': 474057, 'date': '2022-01-15T00:00:00.000Z', 'home_team_id': 16, 'home_team_score': 98, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 23, 'visitor_team_score': 109}",36:16,3,2,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",32,12,1,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",2
