,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
151,"Saturday, Sep 22",WSN,Home,MIL,10.0,4.0,92-59,1.0,up 5.5,D,1
152,"Sunday, Sep 23",WSN,Home,MIL,2.0,6.0,92-60,1.0,up 4.5,D,-1
153,"Monday, Sep 24",WSN,Home,MIL,12.0,2.0,93-60,1.0,up 5.0,D,1
154,"Tuesday, Sep 25",WSN,@,PHI,3.0,6.0,93-61,1.0,up 4.0,N,-1
155,"Wednesday, Sep 26",WSN,@,PHI,8.0,4.0,94-61,1.0,up 4.0,N,1
156,"Thursday, Sep 27",WSN,@,PHI,7.0,3.0,95-61,1.0,up 4.0,N,2
157,"Friday, Sep 28",WSN,@,STL,2.0,12.0,95-62,1.0,up 4.0,N,-1
158,"Saturday, Sep 29",WSN,@,STL,6.0,4.0,96-62,1.0,up 4.0,N,1
159,"Sunday, Sep 30",WSN,@,STL,4.0,10.0,96-63,1.0,up 3.0,D,-1
160,"Monday, Oct 1",WSN,Home,PHI,0.0,2.0,96-64,1.0,up 3.0,N,-2
161,"Tuesday, Oct 2",WSN,Home,PHI,4.0,2.0,97-64,1.0,up 4.0,N,1
162,"Wednesday, Oct 3",WSN,Home,PHI,5.0,1.0,98-64,1.0,up 4.0,D,2
1,"Monday, Apr 1",WSN,Home,MIA,2.0,0.0,1-0,1.0,Tied,D,1
2,"Wednesday, Apr 3",WSN,Home,MIA,3.0,0.0,2-0,1.0,Tied,N,2
3,"Thursday, Apr 4",WSN,Home,MIA,6.0,1.0,3-0,1.0,up 1.0,D,3
4,"Friday, Apr 5",WSN,@,CIN,0.0,15.0,3-1,1.0,Tied,N,-1
5,"Saturday, Apr 6",WSN,@,CIN,7.0,6.0,4-1,1.0,Tied,D,1
6,"Sunday, Apr 7",WSN,@,CIN,3.0,6.0,4-2,2.0,1.0,D,-1
7,"Tuesday, Apr 9",WSN,Home,CHW,8.0,7.0,5-2,2.0,1.5,N,1
8,"Wednesday, Apr 10",WSN,Home,CHW,5.0,2.0,6-2,2.0,1.5,N,2
9,"Thursday, Apr 11",WSN,Home,CHW,7.0,4.0,7-2,2.0,1.0,N,3
10,"Friday, Apr 12",WSN,Home,ATL,4.0,6.0,7-3,2.0,2.0,N,-1
11,"Saturday, Apr 13",WSN,Home,ATL,1.0,3.0,7-4,2.0,3.0,D,-2
12,"Sunday, Apr 14",WSN,Home,ATL,0.0,9.0,7-5,3.0,4.0,D,-3
13,"Monday, Apr 15",WSN,@,MIA,10.0,3.0,8-5,2.0,3.5,N,1
14,"Tuesday, Apr 16",WSN,@,MIA,2.0,8.0,8-6,2.0,4.5,N,-1
