,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
145,"Thursday, Sep 12",SDP,@,PHI,5.0,10.0,66-79,3.0,19.5,N,-2
146,"Friday, Sep 13",SDP,@,ATL,4.0,3.0,67-79,3.0,18.5,N,1
147,"Saturday, Sep 14",SDP,@,ATL,1.0,2.0,67-80,3.0,18.5,N,-1
148,"Sunday, Sep 15",SDP,@,ATL,4.0,0.0,68-80,3.0,17.5,D,1
149,"Monday, Sep 16",SDP,@,PIT,2.0,0.0,69-80,3.0,16.5,N,2
150,"Tuesday, Sep 17",SDP,@,PIT,5.0,2.0,70-80,3.0,16.5,N,3
151,"Wednesday, Sep 18",SDP,@,PIT,3.0,2.0,71-80,3.0,15.5,N,4
152,"Thursday, Sep 19",SDP,@,PIT,1.0,10.0,71-81,3.0,16.5,D,-1
153,"Friday, Sep 20",SDP,Home,LAD,2.0,0.0,72-81,3.0,15.5,N,1
154,"Saturday, Sep 21",SDP,Home,LAD,0.0,4.0,72-82,3.0,16.5,N,-1
155,"Sunday, Sep 22",SDP,Home,LAD,0.0,1.0,72-83,3.0,17.5,D,-2
156,"Monday, Sep 23",SDP,Home,ARI,4.0,1.0,73-83,3.0,17.0,N,1
157,"Tuesday, Sep 24",SDP,Home,ARI,1.0,2.0,73-84,3.0,18.0,N,-1
158,"Wednesday, Sep 25",SDP,Home,ARI,12.0,2.0,74-84,3.0,17.0,N,1
159,"Thursday, Sep 26",SDP,Home,ARI,3.0,2.0,75-84,3.0,16.0,D,2
160,"Friday, Sep 27",SDP,@,SFG,3.0,7.0,75-85,3.0,17.0,N,-1
161,"Saturday, Sep 28",SDP,@,SFG,9.0,3.0,76-85,3.0,16.0,D,1
162,"Sunday, Sep 29",SDP,@,SFG,6.0,7.0,76-86,3.0,16.0,D,-1
1,"Sunday, Mar 30",SDP,Home,LAD,3.0,1.0,1-0,1.0,Tied,N,1
2,"Tuesday, Apr 1",SDP,Home,LAD,2.0,3.0,1-1,2.0,1.0,D,-1
3,"Wednesday, Apr 2",SDP,Home,LAD,1.0,5.0,1-2,3.0,2.0,N,-2
4,"Friday, Apr 4",SDP,@,MIA,2.0,8.0,1-3,4.0,2.5,N,-3
5,"Saturday, Apr 5",SDP,@,MIA,0.0,5.0,1-4,4.0,3.5,N,-4
6,"Sunday, Apr 6",SDP,@,MIA,4.0,2.0,2-4,4.0,2.5,D,1
7,"Tuesday, Apr 8",SDP,@,CLE,6.0,8.0,2-5,4.0,3.5,N,-1
8,"Wednesday, Apr 9 (1)",SDP,@,CLE,0.0,2.0,2-6,4.0,3.0,D,-2
9,"Wednesday, Apr 9 (2)",SDP,@,CLE,2.0,1.0,3-6,4.0,3.0,D,1
10,"Friday, Apr 11",SDP,Home,DET,6.0,0.0,4-6,4.0,2.5,N,2
11,"Saturday, Apr 12",SDP,Home,DET,2.0,6.0,4-7,4.0,3.5,N,-1
12,"Sunday, Apr 13",SDP,Home,DET,5.0,1.0,5-7,4.0,3.5,D,1
13,"Monday, Apr 14",SDP,Home,COL,5.0,4.0,6-7,3.0,3.0,N,2
14,"Tuesday, Apr 15",SDP,Home,COL,2.0,3.0,6-8,4.0,3.0,N,-1
15,"Wednesday, Apr 16",SDP,Home,COL,4.0,2.0,7-8,3.0,3.0,N,1
16,"Thursday, Apr 17",SDP,Home,COL,1.0,3.0,7-9,4.0,3.0,D,-1
17,"Friday, Apr 18",SDP,Home,SFG,2.0,1.0,8-9,4.0,2.0,N,1
18,"Saturday, Apr 19",SDP,Home,SFG,3.0,1.0,9-9,4.0,2.0,N,2
19,"Sunday, Apr 20",SDP,Home,SFG,3.0,4.0,9-10,4.0,3.0,D,-1
20,"Monday, Apr 21",SDP,@,MIL,3.0,4.0,9-11,4.0,3.0,N,-2
21,"Tuesday, Apr 22",SDP,@,MIL,2.0,1.0,10-11,4.0,2.0,N,1
