,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
159,"Wednesday, Sep 24",CLE,Home,KCR,6.0,4.0,83-76,3.0,5.5,N,1
160,"Friday, Sep 26",CLE,Home,TBR,1.0,0.0,84-76,3.0,5.0,N,2
161,"Saturday, Sep 27",CLE,Home,TBR,0.0,2.0,84-77,3.0,5.0,N,-1
162,"Sunday, Sep 28",CLE,Home,TBR,7.0,2.0,85-77,3.0,5.0,D,1
1,"Monday, Apr 6",CLE,@,HOU,0.0,2.0,0-1,3.0,1.0,N,-1
2,"Wednesday, Apr 8",CLE,@,HOU,2.0,0.0,1-1,3.0,1.0,N,1
3,"Thursday, Apr 9",CLE,@,HOU,5.0,1.0,2-1,3.0,1.0,D,2
4,"Friday, Apr 10",CLE,Home,DET,4.0,8.0,2-2,3.0,2.0,D,-1
5,"Saturday, Apr 11",CLE,Home,DET,6.0,9.0,2-3,3.0,3.0,D,-2
6,"Sunday, Apr 12",CLE,Home,DET,5.0,8.0,2-4,3.0,4.0,D,-3
7,"Tuesday, Apr 14",CLE,Home,CHW,1.0,4.0,2-5,4.0,5.0,N,-4
8,"Wednesday, Apr 15",CLE,Home,CHW,4.0,2.0,3-5,3.0,4.5,D,1
9,"Friday, Apr 17",CLE,@,MIN,2.0,3.0,3-6,4.0,5.5,N,-1
10,"Saturday, Apr 18",CLE,@,MIN,4.0,2.0,4-6,3.0,4.5,D,1
11,"Sunday, Apr 19",CLE,@,MIN,2.0,7.0,4-7,4.0,5.5,D,-1
12,"Monday, Apr 20",CLE,@,CHW,3.0,4.0,4-8,5.0,6.5,N,-2
13,"Tuesday, Apr 21",CLE,@,CHW,6.0,2.0,5-8,3.0,5.5,N,1
14,"Wednesday, Apr 22",CLE,@,CHW,0.0,6.0,5-9,5.0,5.5,D,-1
15,"Friday, Apr 24",CLE,@,DET,13.0,1.0,6-9,4.0,5.0,N,1
16,"Saturday, Apr 25",CLE,@,DET,1.0,4.0,6-10,5.0,5.5,D,-1
17,"Sunday, Apr 26",CLE,@,DET,6.0,8.0,6-11,5.0,6.0,D,-2
18,"Monday, Apr 27",CLE,Home,KCR,2.0,6.0,6-12,5.0,7.0,N,-3
19,"Tuesday, Apr 28",CLE,Home,KCR,5.0,11.0,6-13,5.0,7.5,N,-4
20,"Wednesday, Apr 29",CLE,Home,KCR,7.0,5.0,7-13,5.0,7.0,N,1
21,"Thursday, Apr 30",CLE,Home,TOR,1.0,5.0,7-14,5.0,7.5,N,-1
22,"Friday, May 1",CLE,Home,TOR,9.0,4.0,8-14,5.0,7.5,N,1
23,"Saturday, May 2",CLE,Home,TOR,4.0,11.0,8-15,5.0,7.5,D,-1
24,"Sunday, May 3",CLE,Home,TOR,10.0,7.0,9-15,4.0,7.0,D,1
25,"Tuesday, May 5",CLE,@,KCR,3.0,5.0,9-16,5.0,7.5,N,-1
26,"Wednesday, May 6",CLE,@,KCR,10.0,3.0,10-16,5.0,6.5,N,1
27,"Thursday, May 7",CLE,@,KCR,4.0,7.0,10-17,5.0,7.5,D,-1
28,"Friday, May 8",CLE,Home,MIN,3.0,9.0,10-18,5.0,8.0,N,-2
29,"Saturday, May 9",CLE,Home,MIN,4.0,7.0,10-19,5.0,8.5,D,-3
30,"Sunday, May 10",CLE,Home,MIN,8.0,2.0,11-19,5.0,8.5,D,1
31,"Tuesday, May 12",CLE,Home,STL,3.0,8.0,11-20,5.0,9.0,N,-1
32,"Wednesday, May 13",CLE,Home,STL,2.0,0.0,12-20,5.0,8.0,N,1
33,"Thursday, May 14",CLE,Home,STL,1.0,2.0,12-21,5.0,9.0,D,-1
34,"Friday, May 15",CLE,@,TEX,8.0,3.0,13-21,5.0,9.0,N,1
35,"Saturday, May 16",CLE,@,TEX,10.0,8.0,14-21,5.0,8.0,N,2
36,"Sunday, May 17",CLE,@,TEX,1.0,5.0,14-22,5.0,9.0,D,-1
37,"Monday, May 18",CLE,@,CHW,1.0,2.0,14-23,5.0,9.5,N,-2
38,"Tuesday, May 19",CLE,@,CHW,3.0,1.0,15-23,5.0,9.5,N,1
39,"Wednesday, May 20",CLE,@,CHW,4.0,3.0,16-23,5.0,9.5,N,2
40,"Thursday, May 21",CLE,@,CHW,5.0,2.0,17-23,5.0,9.0,N,3
41,"Friday, May 22",CLE,Home,CIN,7.0,3.0,18-23,5.0,9.0,N,4
42,"Saturday, May 23",CLE,Home,CIN,2.0,1.0,19-23,5.0,9.0,D,5
43,"Sunday, May 24",CLE,Home,CIN,5.0,2.0,20-23,4.0,8.0,D,6
44,"Monday, May 25",CLE,Home,TEX,8.0,10.0,20-24,4.0,8.0,D,-1
45,"Tuesday, May 26",CLE,Home,TEX,3.0,4.0,20-25,4.0,8.0,N,-2
46,"Wednesday, May 27",CLE,Home,TEX,12.0,3.0,21-25,4.0,7.0,D,1
47,"Thursday, May 28",CLE,@,SEA,5.0,3.0,22-25,4.0,6.5,N,2
48,"Friday, May 29",CLE,@,SEA,1.0,2.0,22-26,5.0,7.5,N,-1
49,"Saturday, May 30",CLE,@,SEA,4.0,3.0,23-26,4.0,7.0,N,1
50,"Sunday, May 31",CLE,@,SEA,6.0,3.0,24-26,4.0,6.5,D,2
51,"Tuesday, Jun 2",CLE,@,KCR,2.0,1.0,25-26,4.0,5.5,N,3
52,"Wednesday, Jun 3",CLE,@,KCR,2.0,4.0,25-27,4.0,6.0,N,-1
53,"Thursday, Jun 4",CLE,@,KCR,6.0,2.0,26-27,4.0,6.0,N,1
54,"Friday, Jun 5",CLE,Home,BAL,2.0,5.0,26-28,4.0,6.0,N,-1
55,"Saturday, Jun 6",CLE,Home,BAL,2.0,1.0,27-28,4.0,5.0,D,1
56,"Sunday, Jun 7",CLE,Home,BAL,3.0,7.0,27-29,4.0,6.0,D,-1
57,"Tuesday, Jun 9",CLE,Home,SEA,2.0,3.0,27-30,4.0,6.5,N,-2
58,"Wednesday, Jun 10",CLE,Home,SEA,3.0,9.0,27-31,5.0,7.5,N,-3
59,"Thursday, Jun 11",CLE,Home,SEA,6.0,0.0,28-31,5.0,7.0,D,1
60,"Friday, Jun 12",CLE,@,DET,0.0,4.0,28-32,5.0,7.0,N,-1
61,"Saturday, Jun 13",CLE,@,DET,5.0,4.0,29-32,4.0,6.0,D,1
62,"Sunday, Jun 14",CLE,@,DET,1.0,8.0,29-33,4.0,6.5,D,-1
63,"Tuesday, Jun 16",CLE,@,CHC,6.0,0.0,30-33,4.0,7.0,N,1
64,"Wednesday, Jun 17",CLE,Home,CHC,0.0,17.0,30-34,4.0,8.0,N,-1
65,"Thursday, Jun 18",CLE,Home,CHC,4.0,3.0,31-34,4.0,8.0,N,1
66,"Friday, Jun 19",CLE,Home,TBR,1.0,4.0,31-35,4.0,8.0,N,-1
67,"Saturday, Jun 20",CLE,Home,TBR,1.0,4.0,31-36,4.0,9.0,N,-2
68,"Sunday, Jun 21",CLE,Home,TBR,1.0,0.0,32-36,4.0,8.0,D,1
69,"Monday, Jun 22",CLE,Home,DET,5.0,8.0,32-37,4.0,9.0,N,-1
70,"Tuesday, Jun 23",CLE,Home,DET,3.0,7.0,32-38,4.0,9.0,N,-2
71,"Wednesday, Jun 24",CLE,Home,DET,8.0,2.0,33-38,4.0,9.0,D,1
72,"Friday, Jun 26",CLE,@,BAL,3.0,4.0,33-39,4.0,10.0,N,-1
73,"Sunday, Jun 28 (1)",CLE,@,BAL,0.0,4.0,33-40,4.0,12.0,D,-2
74,"Sunday, Jun 28 (2)",CLE,@,BAL,0.0,8.0,33-41,4.0,12.0,N,-3
75,"Monday, Jun 29",CLE,@,TBR,7.0,1.0,34-41,4.0,11.0,N,1
76,"Tuesday, Jun 30",CLE,@,TBR,6.0,2.0,35-41,4.0,10.0,N,2
77,"Wednesday, Jul 1",CLE,@,TBR,8.0,1.0,36-41,4.0,9.0,N,3
78,"Thursday, Jul 2",CLE,@,TBR,5.0,4.0,37-41,4.0,8.0,D,4
79,"Friday, Jul 3",CLE,@,PIT,5.0,2.0,38-41,4.0,8.0,N,5
80,"Saturday, Jul 4",CLE,@,PIT,0.0,1.0,38-42,4.0,8.0,D,-1
81,"Sunday, Jul 5",CLE,@,PIT,3.0,5.0,38-43,4.0,9.0,D,-2
82,"Monday, Jul 6",CLE,Home,HOU,4.0,9.0,38-44,4.0,9.5,N,-3
83,"Tuesday, Jul 7",CLE,Home,HOU,2.0,0.0,39-44,4.0,10.0,N,1
84,"Wednesday, Jul 8",CLE,Home,HOU,4.0,2.0,40-44,4.0,10.0,N,2
85,"Thursday, Jul 9",CLE,Home,HOU,3.0,1.0,41-44,4.0,10.0,N,3
86,"Friday, Jul 10",CLE,Home,OAK,5.0,1.0,42-44,4.0,10.0,N,4
87,"Saturday, Jul 11",CLE,Home,OAK,4.0,5.0,42-45,4.0,10.0,N,-1
88,"Sunday, Jul 12",CLE,Home,OAK,0.0,2.0,42-46,4.0,11.0,D,-2
89,"Friday, Jul 17",CLE,@,CIN,1.0,6.0,42-47,5.0,11.5,N,-3
90,"Saturday, Jul 18",CLE,@,CIN,9.0,4.0,43-47,4.0,11.5,N,1
91,"Sunday, Jul 19",CLE,@,CIN,5.0,3.0,44-47,4.0,11.5,D,2
92,"Tuesday, Jul 21",CLE,@,MIL,1.0,8.0,44-48,4.0,12.0,N,-1
93,"Wednesday, Jul 22",CLE,@,MIL,7.0,5.0,45-48,4.0,12.0,D,1
94,"Thursday, Jul 23",CLE,Home,CHW,1.0,8.0,45-49,4.0,12.0,N,-1
95,"Friday, Jul 24",CLE,Home,CHW,0.0,6.0,45-50,4.0,12.0,N,-2
96,"Saturday, Jul 25",CLE,Home,CHW,3.0,10.0,45-51,5.0,13.0,N,-3
97,"Sunday, Jul 26",CLE,Home,CHW,1.0,2.0,45-52,5.0,14.0,D,-4
98,"Monday, Jul 27",CLE,Home,KCR,4.0,9.0,45-53,5.0,15.0,N,-5
99,"Tuesday, Jul 28",CLE,Home,KCR,1.0,2.0,45-54,5.0,16.0,N,-6
100,"Wednesday, Jul 29",CLE,Home,KCR,12.0,1.0,46-54,5.0,15.0,D,1
101,"Thursday, Jul 30",CLE,@,OAK,3.0,1.0,47-54,5.0,14.0,N,2
102,"Friday, Jul 31",CLE,@,OAK,2.0,1.0,48-54,5.0,13.0,N,3
103,"Saturday, Aug 1",CLE,@,OAK,1.0,5.0,48-55,5.0,14.0,N,-1
104,"Sunday, Aug 2",CLE,@,OAK,1.0,2.0,48-56,5.0,14.0,D,-2
105,"Monday, Aug 3",CLE,@,LAA,4.0,5.0,48-57,5.0,14.5,N,-3
106,"Tuesday, Aug 4",CLE,@,LAA,2.0,0.0,49-57,5.0,14.5,N,1
107,"Wednesday, Aug 5",CLE,@,LAA,3.0,4.0,49-58,5.0,14.5,D,-1
108,"Friday, Aug 7",CLE,Home,MIN,9.0,10.0,49-59,5.0,15.0,N,-2
109,"Saturday, Aug 8",CLE,Home,MIN,17.0,4.0,50-59,5.0,15.0,N,1
110,"Sunday, Aug 9",CLE,Home,MIN,8.0,1.0,51-59,5.0,15.0,D,2
111,"Tuesday, Aug 11",CLE,Home,NYY,5.0,4.0,52-59,5.0,15.5,N,3
112,"Wednesday, Aug 12",CLE,Home,NYY,2.0,1.0,53-59,5.0,14.5,N,4
113,"Thursday, Aug 13",CLE,Home,NYY,6.0,8.0,53-60,5.0,14.5,N,-1
114,"Friday, Aug 14",CLE,@,MIN,6.0,1.0,54-60,5.0,14.5,N,1
115,"Saturday, Aug 15",CLE,@,MIN,1.0,4.0,54-61,5.0,15.5,N,-1
116,"Sunday, Aug 16",CLE,@,MIN,1.0,4.0,54-62,5.0,16.5,D,-2
117,"Monday, Aug 17",CLE,@,BOS,8.0,2.0,55-62,5.0,16.0,N,1
118,"Tuesday, Aug 18",CLE,@,BOS,1.0,9.0,55-63,5.0,17.0,N,-1
119,"Wednesday, Aug 19",CLE,@,BOS,4.0,6.0,55-64,5.0,18.0,N,-2
120,"Thursday, Aug 20",CLE,@,NYY,3.0,2.0,56-64,5.0,17.0,N,1
121,"Friday, Aug 21",CLE,@,NYY,7.0,3.0,57-64,5.0,16.0,N,2
122,"Saturday, Aug 22",CLE,@,NYY,2.0,6.0,57-65,5.0,17.0,D,-1
123,"Sunday, Aug 23",CLE,@,NYY,4.0,3.0,58-65,5.0,17.0,D,1
124,"Monday, Aug 24",CLE,@,CHC,1.0,2.0,58-66,5.0,18.0,D,-1
125,"Tuesday, Aug 25",CLE,Home,MIL,11.0,6.0,59-66,4.0,18.0,N,1
126,"Wednesday, Aug 26",CLE,Home,MIL,6.0,2.0,60-66,3.0,17.0,N,2
127,"Friday, Aug 28",CLE,Home,LAA,3.0,1.0,61-66,3.0,17.5,N,3
128,"Saturday, Aug 29",CLE,Home,LAA,8.0,3.0,62-66,3.0,17.5,N,4
129,"Sunday, Aug 30",CLE,Home,LAA,9.0,2.0,63-66,3.0,16.5,D,5
130,"Monday, Aug 31",CLE,@,TOR,4.0,2.0,64-66,3.0,16.0,N,6
131,"Tuesday, Sep 1",CLE,@,TOR,3.0,5.0,64-67,3.0,16.0,N,-1
132,"Wednesday, Sep 2",CLE,@,TOR,1.0,5.0,64-68,3.0,17.0,N,-2
133,"Friday, Sep 4",CLE,@,DET,8.0,1.0,65-68,3.0,16.5,N,1
134,"Saturday, Sep 5",CLE,@,DET,0.0,6.0,65-69,3.0,16.5,N,-1
135,"Sunday, Sep 6",CLE,@,DET,4.0,0.0,66-69,3.0,15.5,D,1
136,"Monday, Sep 7",CLE,@,CHW,3.0,2.0,67-69,3.0,14.5,D,2
137,"Tuesday, Sep 8",CLE,@,CHW,4.0,7.0,67-70,3.0,15.5,N,-1
138,"Wednesday, Sep 9",CLE,@,CHW,6.0,4.0,68-70,3.0,14.5,N,1
139,"Thursday, Sep 10",CLE,Home,DET,7.0,5.0,69-70,3.0,14.0,N,2
140,"Sunday, Sep 13 (1)",CLE,Home,DET,7.0,2.0,70-70,3.0,13.5,D,3
141,"Sunday, Sep 13 (2)",CLE,Home,DET,2.0,9.0,70-71,3.0,13.5,N,-1
142,"Monday, Sep 14",CLE,Home,KCR,8.0,3.0,71-71,3.0,12.5,N,1
143,"Tuesday, Sep 15",CLE,Home,KCR,0.0,2.0,71-72,3.0,13.5,N,-1
144,"Wednesday, Sep 16",CLE,Home,KCR,5.0,1.0,72-72,3.0,12.5,N,1
145,"Thursday, Sep 17",CLE,Home,KCR,4.0,8.0,72-73,3.0,13.5,N,-1
146,"Friday, Sep 18",CLE,Home,CHW,12.0,1.0,73-73,3.0,12.5,N,1
147,"Saturday, Sep 19",CLE,Home,CHW,3.0,4.0,73-74,3.0,12.5,N,-1
148,"Sunday, Sep 20",CLE,Home,CHW,6.0,3.0,74-74,3.0,12.5,D,1
149,"Tuesday, Sep 22",CLE,@,MIN,1.0,3.0,74-75,3.0,12.5,N,-1
150,"Wednesday, Sep 23",CLE,@,MIN,2.0,4.0,74-76,3.0,13.5,N,-2
151,"Thursday, Sep 24",CLE,@,MIN,6.0,3.0,75-76,3.0,13.5,N,1
152,"Friday, Sep 25",CLE,@,KCR,6.0,0.0,76-76,3.0,12.5,N,2
153,"Saturday, Sep 26",CLE,@,KCR,9.0,5.0,77-76,3.0,11.5,N,3
154,"Sunday, Sep 27",CLE,@,KCR,0.0,3.0,77-77,3.0,12.5,D,-1
155,"Monday, Sep 28",CLE,Home,MIN,2.0,4.0,77-78,3.0,12.5,N,-2
156,"Wednesday, Sep 30 (1)",CLE,Home,MIN,1.0,7.0,77-79,3.0,12.5,D,-3
157,"Wednesday, Sep 30 (2)",CLE,Home,MIN,10.0,2.0,78-79,3.0,12.5,N,1
158,"Thursday, Oct 1",CLE,Home,MIN,2.0,4.0,78-80,3.0,13.5,N,-1
159,"Friday, Oct 2",CLE,Home,BOS,8.0,2.0,79-80,3.0,13.5,N,1
160,"Saturday, Oct 3",CLE,Home,BOS,2.0,0.0,80-80,3.0,13.5,N,2
161,"Sunday, Oct 4",CLE,Home,BOS,3.0,1.0,81-80,3.0,13.5,D,3
1,"Tuesday, Apr 5",CLE,Home,BOS,2.0,6.0,0-1,4.0,1.5,D,-1
2,"Wednesday, Apr 6",CLE,Home,BOS,7.0,6.0,1-1,3.0,1.0,N,1
3,"Friday, Apr 8",CLE,@,CHW,7.0,1.0,2-1,2.0,1.0,D,2
4,"Saturday, Apr 9",CLE,@,CHW,3.0,7.0,2-2,4.0,1.0,D,-1
5,"Tuesday, Apr 12",CLE,@,TBR,1.0,5.0,2-3,4.0,2.0,N,-2
6,"Wednesday, Apr 13",CLE,@,TBR,4.0,1.0,3-3,4.0,2.0,N,1
7,"Thursday, Apr 14",CLE,@,TBR,6.0,0.0,4-3,4.0,2.0,D,2
8,"Friday, Apr 15",CLE,Home,NYM,5.0,6.0,4-4,4.0,3.0,N,-1
9,"Saturday, Apr 16",CLE,Home,NYM,7.0,5.0,5-4,4.0,2.0,D,1
10,"Sunday, Apr 17",CLE,Home,NYM,0.0,6.0,5-5,4.0,2.0,D,-1
