,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
26,"Tuesday, May 2",DET,Home,CLE,5.0,2.0,14-12,2.0,0.5,N,3
27,"Wednesday, May 3",DET,Home,CLE,2.0,3.0,14-13,4.0,1.0,N,-1
28,"Friday, May 5",DET,@,OAK,7.0,2.0,15-13,2.0,0.5,N,1
29,"Saturday, May 6",DET,@,OAK,5.0,6.0,15-14,3.0,1.0,N,-1
30,"Sunday, May 7",DET,@,OAK,6.0,8.0,15-15,3.0,2.0,D,-2
31,"Tuesday, May 9",DET,@,ARI,7.0,3.0,16-15,3.0,1.5,N,1
32,"Wednesday, May 10",DET,@,ARI,1.0,7.0,16-16,3.0,1.5,N,-1
33,"Thursday, May 11",DET,@,LAA,7.0,1.0,17-16,3.0,1.0,N,1
34,"Friday, May 12",DET,@,LAA,0.0,7.0,17-17,3.0,2.0,N,-1
35,"Saturday, May 13",DET,@,LAA,4.0,3.0,18-17,2.0,2.0,N,1
36,"Sunday, May 14",DET,@,LAA,1.0,4.0,18-18,3.0,2.0,D,-1
37,"Tuesday, May 16",DET,Home,BAL,11.0,13.0,18-19,3.0,2.0,N,-2
38,"Wednesday, May 17",DET,Home,BAL,5.0,4.0,19-19,3.0,1.5,N,1
39,"Thursday, May 18",DET,Home,BAL,6.0,5.0,20-19,2.0,1.0,D,2
40,"Friday, May 19",DET,Home,TEX,3.0,5.0,20-20,3.0,2.0,N,-1
41,"Saturday, May 20",DET,Home,TEX,9.0,3.0,21-20,3.0,1.5,N,1
42,"Sunday, May 21",DET,Home,TEX,2.0,5.0,21-21,3.0,2.0,N,-1
43,"Monday, May 22",DET,@,HOU,0.0,1.0,21-22,3.0,3.0,N,-2
44,"Tuesday, May 23",DET,@,HOU,2.0,6.0,21-23,3.0,4.0,N,-3
45,"Wednesday, May 24",DET,@,HOU,6.0,3.0,22-23,3.0,4.0,N,1
46,"Thursday, May 25",DET,@,HOU,6.0,7.0,22-24,3.0,4.5,N,-1
47,"Friday, May 26",DET,@,CHW,2.0,8.0,22-25,3.0,4.5,N,-2
48,"Saturday, May 27 (1)",DET,@,CHW,0.0,3.0,22-26,3.0,5.0,D,-3
49,"Saturday, May 27 (2)",DET,@,CHW,4.0,3.0,23-26,3.0,5.0,D,1
50,"Sunday, May 28",DET,@,CHW,3.0,7.0,23-27,4.0,5.0,D,-1
51,"Monday, May 29",DET,@,KCR,10.0,7.0,24-27,4.0,4.0,N,1
52,"Tuesday, May 30",DET,@,KCR,0.0,1.0,24-28,4.0,4.0,N,-1
53,"Wednesday, May 31",DET,@,KCR,6.0,5.0,25-28,3.0,3.0,N,1
54,"Friday, Jun 2",DET,Home,CHW,15.0,5.0,26-28,3.0,3.5,N,2
55,"Saturday, Jun 3",DET,Home,CHW,10.0,1.0,27-28,3.0,2.5,D,3
56,"Sunday, Jun 4",DET,Home,CHW,7.0,4.0,28-28,3.0,2.5,D,4
57,"Tuesday, Jun 6",DET,Home,LAA,3.0,5.0,28-29,3.0,2.5,N,-1
58,"Wednesday, Jun 7",DET,Home,LAA,4.0,0.0,29-29,3.0,1.5,N,1
59,"Thursday, Jun 8",DET,Home,LAA,4.0,11.0,29-30,3.0,2.5,D,-1
60,"Friday, Jun 9",DET,@,BOS,3.0,5.0,29-31,3.0,3.5,N,-2
61,"Saturday, Jun 10",DET,@,BOS,3.0,11.0,29-32,3.0,4.5,N,-3
62,"Sunday, Jun 11",DET,@,BOS,8.0,3.0,30-32,3.0,3.5,N,1
63,"Tuesday, Jun 13",DET,Home,ARI,6.0,7.0,30-33,3.0,4.0,N,-1
