,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
141,"Saturday, Sep 9",KCR,Home,MIN,5.0,2.0,70-71,3.0,15.5,N,1
142,"Sunday, Sep 10",KCR,Home,MIN,11.0,3.0,71-71,3.0,15.5,D,2
143,"Monday, Sep 11",KCR,Home,CHW,3.0,11.0,71-72,3.0,16.5,N,-1
144,"Tuesday, Sep 12",KCR,Home,CHW,4.0,3.0,72-72,3.0,16.5,D,1
145,"Wednesday, Sep 13",KCR,Home,CHW,3.0,5.0,72-73,3.0,17.5,D,-1
146,"Thursday, Sep 14",KCR,@,CLE,2.0,3.0,72-74,3.0,18.5,N,-2
147,"Friday, Sep 15",KCR,@,CLE,4.0,3.0,73-74,3.0,17.5,N,1
148,"Saturday, Sep 16",KCR,@,CLE,4.0,8.0,73-75,3.0,18.5,D,-1
149,"Sunday, Sep 17",KCR,@,CLE,2.0,3.0,73-76,3.0,19.5,D,-2
150,"Tuesday, Sep 19",KCR,@,TOR,2.0,5.0,73-77,3.0,20.5,N,-3
151,"Wednesday, Sep 20",KCR,@,TOR,15.0,5.0,74-77,3.0,20.5,N,1
152,"Thursday, Sep 21",KCR,@,TOR,1.0,0.0,75-77,3.0,20.5,N,2
153,"Friday, Sep 22",KCR,@,CHW,6.0,7.0,75-78,3.0,20.5,N,-1
154,"Saturday, Sep 23",KCR,@,CHW,8.0,2.0,76-78,3.0,20.5,N,1
155,"Sunday, Sep 24",KCR,@,CHW,1.0,8.0,76-79,3.0,21.5,D,-1
156,"Monday, Sep 25",KCR,@,NYY,3.0,11.0,76-80,3.0,22.0,D,-2
157,"Tuesday, Sep 26",KCR,Home,DET,2.0,1.0,77-80,3.0,21.0,N,1
158,"Wednesday, Sep 27",KCR,Home,DET,7.0,4.0,78-80,3.0,21.0,N,2
159,"Thursday, Sep 28",KCR,Home,DET,1.0,4.0,78-81,3.0,22.0,N,-1
160,"Friday, Sep 29",KCR,Home,ARI,2.0,1.0,79-81,3.0,22.0,N,1
161,"Saturday, Sep 30",KCR,Home,ARI,4.0,3.0,80-81,3.0,21.0,N,2
162,"Sunday, Oct 1",KCR,Home,ARI,2.0,14.0,80-82,3.0,22.0,D,-1
1,"Thursday, Mar 29",KCR,Home,CHW,7.0,14.0,0-1,3.0,1.0,D,-1
2,"Saturday, Mar 31",KCR,Home,CHW,3.0,4.0,0-2,5.0,2.0,N,-2
3,"Monday, Apr 2",KCR,@,DET,1.0,6.0,0-3,5.0,2.0,D,-3
4,"Tuesday, Apr 3",KCR,@,DET,1.0,0.0,1-3,4.0,1.0,D,1
5,"Friday, Apr 6",KCR,@,CLE,2.0,3.0,1-4,5.0,2.5,D,-1
6,"Saturday, Apr 7",KCR,@,CLE,1.0,0.0,2-4,4.0,1.5,D,1
7,"Sunday, Apr 8",KCR,@,CLE,1.0,3.0,2-5,5.0,2.0,D,-1
8,"Monday, Apr 9",KCR,Home,SEA,10.0,0.0,3-5,4.0,1.0,N,1
9,"Tuesday, Apr 10",KCR,Home,SEA,3.0,8.0,3-6,4.0,2.0,N,-1
10,"Wednesday, Apr 11",KCR,Home,SEA,2.0,4.0,3-7,5.0,3.0,D,-2
11,"Thursday, Apr 12",KCR,Home,LAA,1.0,7.0,3-8,5.0,4.0,N,-3
12,"Friday, Apr 13",KCR,Home,LAA,4.0,5.0,3-9,5.0,4.5,N,-4
13,"Saturday, Apr 14",KCR,Home,LAA,3.0,5.0,3-10,5.0,5.0,N,-5
14,"Tuesday, Apr 17 (1)",KCR,@,TOR,3.0,11.0,3-11,5.0,6.0,D,-6
15,"Tuesday, Apr 17 (2)",KCR,@,TOR,4.0,5.0,3-12,5.0,6.0,N,-7
16,"Wednesday, Apr 18",KCR,@,TOR,5.0,15.0,3-13,5.0,6.5,D,-8
17,"Friday, Apr 20 (1)",KCR,@,DET,2.0,3.0,3-14,5.0,6.0,D,-9
18,"Friday, Apr 20 (2)",KCR,@,DET,3.0,2.0,4-14,5.0,6.0,N,1
19,"Saturday, Apr 21",KCR,@,DET,4.0,12.0,4-15,5.0,6.5,D,-1
20,"Sunday, Apr 22",KCR,@,DET,8.0,5.0,5-15,4.0,6.5,D,1
21,"Tuesday, Apr 24",KCR,Home,MIL,2.0,5.0,5-16,5.0,7.0,N,-1
22,"Wednesday, Apr 25",KCR,Home,MIL,2.0,6.0,5-17,5.0,8.0,N,-2
23,"Thursday, Apr 26",KCR,Home,CHW,3.0,6.0,5-18,5.0,8.0,N,-3
24,"Friday, Apr 27",KCR,Home,CHW,4.0,7.0,5-19,5.0,9.0,N,-4
25,"Saturday, Apr 28 (1)",KCR,Home,CHW,0.0,8.0,5-20,5.0,8.5,D,-5
26,"Saturday, Apr 28 (2)",KCR,Home,CHW,5.0,2.0,6-20,5.0,8.5,N,1
27,"Sunday, Apr 29",KCR,Home,CHW,5.0,4.0,7-20,5.0,7.5,D,2
28,"Monday, Apr 30",KCR,@,BOS,6.0,10.0,7-21,5.0,8.5,N,-1
29,"Tuesday, May 1",KCR,@,BOS,7.0,6.0,8-21,5.0,7.5,N,1
30,"Wednesday, May 2",KCR,@,BOS,4.0,5.0,8-22,5.0,8.5,D,-1
31,"Thursday, May 3",KCR,Home,DET,10.0,6.0,9-22,5.0,8.0,D,1
32,"Friday, May 4",KCR,Home,DET,4.0,2.0,10-22,4.0,7.0,N,2
33,"Saturday, May 5",KCR,Home,DET,2.0,3.0,10-23,4.0,7.0,D,-1
34,"Sunday, May 6",KCR,Home,DET,4.0,2.0,11-23,4.0,6.0,D,1
35,"Tuesday, May 8",KCR,@,BAL,15.0,7.0,12-23,4.0,5.0,N,2
36,"Wednesday, May 9",KCR,@,BAL,3.0,5.0,12-24,4.0,6.0,N,-1
37,"Thursday, May 10",KCR,@,BAL,6.0,11.0,12-25,4.0,6.5,N,-2
38,"Friday, May 11",KCR,@,CLE,10.0,9.0,13-25,4.0,5.5,N,1
39,"Saturday, May 12",KCR,@,CLE,2.0,6.0,13-26,4.0,6.5,N,-1
40,"Sunday, May 13",KCR,@,CLE,2.0,11.0,13-27,4.0,7.5,D,-2
41,"Monday, May 14",KCR,Home,TBR,1.0,2.0,13-28,4.0,7.5,N,-3
42,"Tuesday, May 15",KCR,Home,TBR,5.0,6.0,13-29,4.0,7.5,N,-4
43,"Wednesday, May 16",KCR,Home,TBR,3.0,5.0,13-30,4.0,8.5,D,-5
44,"Friday, May 18",KCR,Home,NYY,5.0,2.0,14-30,4.0,7.5,N,1
45,"Saturday, May 19",KCR,Home,NYY,3.0,8.0,14-31,4.0,8.5,N,-1
46,"Sunday, May 20",KCR,Home,NYY,1.0,10.0,14-32,5.0,8.5,D,-2
47,"Monday, May 21",KCR,@,STL,0.0,6.0,14-33,5.0,9.0,N,-3
48,"Tuesday, May 22",KCR,@,STL,5.0,1.0,15-33,5.0,9.0,N,1
49,"Wednesday, May 23",KCR,@,STL,5.0,2.0,16-33,5.0,9.0,D,2
50,"Thursday, May 24",KCR,@,TEX,8.0,2.0,17-33,4.0,8.0,N,3
51,"Friday, May 25",KCR,@,TEX,4.0,8.0,17-34,4.0,8.0,N,-1
52,"Saturday, May 26",KCR,@,TEX,3.0,4.0,17-35,5.0,9.0,D,-2
53,"Sunday, May 27",KCR,@,TEX,5.0,3.0,18-35,4.0,9.0,D,1
54,"Monday, May 28",KCR,Home,MIN,5.0,8.0,18-36,4.0,10.0,N,-1
