,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
19,"Monday, Apr 22",CHW,Home,CLE,2.0,3.0,7-12,5.0,4.0,N,-4
20,"Wednesday, Apr 24",CHW,Home,CLE,3.0,2.0,8-12,5.0,3.0,D,1
21,"Thursday, Apr 25",CHW,Home,TBR,5.0,2.0,9-12,4.0,3.0,N,2
22,"Friday, Apr 26",CHW,Home,TBR,5.0,4.0,10-12,4.0,2.5,N,3
23,"Saturday, Apr 27",CHW,Home,TBR,4.0,10.0,10-13,4.0,3.5,N,-1
24,"Sunday, Apr 28",CHW,Home,TBR,3.0,8.0,10-14,4.0,4.0,D,-2
25,"Tuesday, Apr 30",CHW,@,TEX,6.0,10.0,10-15,5.0,5.0,N,-3
26,"Wednesday, May 1",CHW,@,TEX,5.0,2.0,11-15,5.0,4.5,N,1
27,"Thursday, May 2",CHW,@,TEX,3.0,1.0,12-15,5.0,4.0,N,2
28,"Saturday, May 4",CHW,@,KCR,0.0,2.0,12-16,5.0,5.5,N,-1
29,"Sunday, May 5",CHW,@,KCR,5.0,6.0,12-17,5.0,6.5,D,-2
30,"Monday, May 6",CHW,@,KCR,2.0,1.0,13-17,5.0,6.0,D,1
31,"Tuesday, May 7",CHW,@,NYM,0.0,1.0,13-18,5.0,6.5,N,-1
32,"Wednesday, May 8",CHW,@,NYM,6.0,3.0,14-18,5.0,5.5,N,1
33,"Friday, May 10",CHW,Home,LAA,5.0,7.0,14-19,5.0,6.0,N,-1
34,"Saturday, May 11",CHW,Home,LAA,2.0,3.0,14-20,5.0,6.0,N,-2
35,"Sunday, May 12",CHW,Home,LAA,3.0,0.0,15-20,5.0,5.0,N,1
36,"Monday, May 13",CHW,@,MIN,3.0,10.0,15-21,5.0,6.0,N,-1
37,"Tuesday, May 14",CHW,@,MIN,4.0,2.0,16-21,5.0,6.0,N,1
38,"Wednesday, May 15",CHW,@,MIN,9.0,4.0,17-21,5.0,5.0,D,2
