,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
5,"Wednesday, Apr 7 (1)",ATL,@,WSN,7.0,6.0,1-4,4.0,3.0,D,1
6,"Wednesday, Apr 7 (2)",ATL,@,WSN,2.0,0.0,2-4,4.0,3.0,N,2
7,"Friday, Apr 9",ATL,Home,PHI,8.0,1.0,3-4,3.0,2.0,N,3
8,"Saturday, Apr 10",ATL,Home,PHI,5.0,4.0,4-4,2.0,1.0,N,4
9,"Sunday, Apr 11",ATL,Home,PHI,6.0,7.0,4-5,3.0,2.0,N,-1
10,"Monday, Apr 12",ATL,Home,MIA,3.0,5.0,4-6,3.0,2.5,N,-2
11,"Tuesday, Apr 13",ATL,Home,MIA,8.0,14.0,4-7,3.0,2.5,N,-3
12,"Wednesday, Apr 14",ATL,Home,MIA,5.0,6.0,4-8,5.0,3.5,N,-4
13,"Thursday, Apr 15",ATL,Home,MIA,7.0,6.0,5-8,3.0,3.0,D,1
14,"Friday, Apr 16",ATL,@,CHC,5.0,2.0,6-8,3.0,2.5,D,2
15,"Saturday, Apr 17",ATL,@,CHC,4.0,13.0,6-9,5.0,3.0,D,-1
16,"Sunday, Apr 18",ATL,@,CHC,13.0,4.0,7-9,3.0,3.0,N,1
17,"Tuesday, Apr 20",ATL,@,NYY,1.0,3.0,7-10,3.0,3.0,N,-1
18,"Wednesday, Apr 21",ATL,@,NYY,4.0,1.0,8-10,3.0,2.0,N,1
19,"Friday, Apr 23",ATL,Home,ARI,5.0,4.0,9-10,2.0,1.5,N,2
20,"Sunday, Apr 25 (1)",ATL,Home,ARI,0.0,5.0,9-11,3.0,2.5,D,-1
21,"Sunday, Apr 25 (2)",ATL,Home,ARI,0.0,7.0,9-12,3.0,2.5,N,-2
22,"Monday, Apr 26",ATL,Home,CHC,8.0,7.0,10-12,3.0,2.0,N,1
23,"Tuesday, Apr 27",ATL,Home,CHC,5.0,0.0,11-12,2.0,1.0,N,2
24,"Wednesday, Apr 28",ATL,Home,CHC,10.0,0.0,12-12,1.0,Tied,N,3
25,"Thursday, Apr 29",ATL,Home,CHC,3.0,9.0,12-13,2.0,0.5,N,-1
26,"Friday, Apr 30",ATL,@,TOR,5.0,13.0,12-14,3.0,1.0,N,-2
27,"Saturday, May 1",ATL,@,TOR,5.0,6.0,12-15,4.0,1.5,N,-3
28,"Sunday, May 2",ATL,@,TOR,2.0,7.0,12-16,4.0,2.5,D,-4
29,"Tuesday, May 4",ATL,@,WSN,6.0,1.0,13-16,4.0,1.5,N,1
30,"Wednesday, May 5",ATL,@,WSN,5.0,3.0,14-16,3.0,1.5,N,2
31,"Thursday, May 6",ATL,@,WSN,3.0,2.0,15-16,3.0,1.5,D,3
32,"Friday, May 7",ATL,Home,PHI,2.0,12.0,15-17,3.0,2.5,N,-1
33,"Saturday, May 8",ATL,Home,PHI,8.0,7.0,16-17,3.0,2.0,N,1
34,"Sunday, May 9",ATL,Home,PHI,6.0,1.0,17-17,3.0,2.0,N,2
35,"Tuesday, May 11",ATL,Home,TOR,3.0,5.0,17-18,3.0,3.0,N,-1
36,"Wednesday, May 12",ATL,Home,TOR,1.0,4.0,17-19,3.0,4.0,N,-2
37,"Thursday, May 13",ATL,Home,TOR,4.0,8.0,17-20,3.0,4.5,D,-3
38,"Friday, May 14",ATL,@,MIL,6.0,3.0,18-20,3.0,3.5,N,1
39,"Saturday, May 15",ATL,@,MIL,5.0,1.0,19-20,3.0,2.5,N,2
40,"Sunday, May 16",ATL,@,MIL,9.0,10.0,19-21,3.0,2.5,D,-1
41,"Monday, May 17",ATL,Home,NYM,1.0,3.0,19-22,3.0,3.5,N,-2
42,"Tuesday, May 18",ATL,Home,NYM,3.0,4.0,19-23,3.0,4.5,N,-3
43,"Wednesday, May 19",ATL,Home,NYM,5.0,4.0,20-23,3.0,3.5,N,1
44,"Thursday, May 20",ATL,Home,PIT,4.0,6.0,20-24,3.0,4.0,N,-1
45,"Friday, May 21",ATL,Home,PIT,20.0,1.0,21-24,3.0,4.0,N,1
46,"Saturday, May 22",ATL,Home,PIT,6.0,1.0,22-24,2.0,3.0,D,2
47,"Sunday, May 23",ATL,Home,PIT,7.0,1.0,23-24,2.0,2.0,D,3
48,"Tuesday, May 25",ATL,@,BOS,3.0,1.0,24-24,2.0,1.5,N,4
49,"Wednesday, May 26",ATL,@,BOS,5.0,9.0,24-25,2.0,2.0,N,-1
50,"Saturday, May 29",ATL,@,NYM,2.0,13.0,24-26,2.0,4.0,N,-2
51,"Monday, May 31",ATL,Home,WSN,5.0,3.0,25-26,2.0,4.0,N,1
52,"Tuesday, Jun 1",ATL,Home,WSN,6.0,11.0,25-27,2.0,4.0,N,-1
53,"Wednesday, Jun 2",ATL,Home,WSN,3.0,5.0,25-28,2.0,5.0,N,-2
54,"Thursday, Jun 3",ATL,Home,WSN,5.0,1.0,26-28,2.0,4.0,D,1
55,"Friday, Jun 4",ATL,Home,LAD,5.0,9.0,26-29,2.0,4.0,N,-1
56,"Saturday, Jun 5",ATL,Home,LAD,6.0,4.0,27-29,2.0,4.0,N,1
