,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
3,"Thursday, Apr 3",CIN,Home,STL,6.0,7.0,1-2,3.0,1.0,D,-1
4,"Friday, Apr 4",CIN,@,NYM,3.0,4.0,1-3,4.0,2.0,N,-2
5,"Saturday, Apr 5",CIN,@,NYM,3.0,6.0,1-4,4.0,2.0,D,-3
6,"Sunday, Apr 6",CIN,@,NYM,2.0,1.0,2-4,4.0,2.0,D,1
7,"Monday, Apr 7",CIN,@,STL,3.0,5.0,2-5,5.0,2.5,D,-1
8,"Tuesday, Apr 8",CIN,@,STL,5.0,7.0,2-6,5.0,3.5,N,-2
9,"Wednesday, Apr 9",CIN,@,STL,4.0,0.0,3-6,5.0,3.5,D,1
10,"Friday, Apr 11",CIN,Home,TBR,1.0,2.0,3-7,5.0,5.0,N,-1
11,"Saturday, Apr 12",CIN,Home,TBR,0.0,1.0,3-8,5.0,6.0,D,-2
12,"Sunday, Apr 13",CIN,Home,TBR,12.0,4.0,4-8,4.0,6.0,D,1
13,"Monday, Apr 14",CIN,Home,PIT,7.0,8.0,4-9,5.0,6.0,N,-1
14,"Tuesday, Apr 15",CIN,Home,PIT,7.0,5.0,5-9,4.0,5.0,N,1
15,"Wednesday, Apr 16",CIN,Home,PIT,4.0,0.0,6-9,4.0,5.0,D,2
16,"Friday, Apr 18",CIN,@,CHC,4.0,1.0,7-9,4.0,4.5,D,3
17,"Saturday, Apr 19",CIN,@,CHC,4.0,8.0,7-10,4.0,5.5,D,-1
18,"Sunday, Apr 20",CIN,@,CHC,8.0,2.0,8-10,3.0,5.5,D,1
19,"Monday, Apr 21",CIN,@,PIT,5.0,6.0,8-11,4.0,6.5,N,-1
20,"Tuesday, Apr 22",CIN,@,PIT,4.0,1.0,9-11,3.0,5.5,N,1
21,"Wednesday, Apr 23",CIN,@,PIT,5.0,2.0,10-11,3.0,5.5,N,2
22,"Thursday, Apr 24",CIN,@,PIT,2.0,1.0,11-11,3.0,5.0,D,3
