,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
11,"Tuesday, Apr 13",TBR,Home,TEX,3.0,8.0,5-6,2.0,2.5,N,-1
12,"Wednesday, Apr 14",TBR,Home,TEX,1.0,5.0,5-7,4.0,4.0,N,-2
13,"Thursday, Apr 15",TBR,Home,TEX,4.0,6.0,5-8,4.0,4.0,N,-3
14,"Friday, Apr 16",TBR,@,NYY,8.0,2.0,6-8,3.0,3.5,N,1
15,"Saturday, Apr 17",TBR,@,NYY,6.0,3.0,7-8,2.0,3.5,D,2
16,"Sunday, Apr 18",TBR,@,NYY,4.0,2.0,8-8,2.0,2.0,D,3
17,"Monday, Apr 19",TBR,@,KCR,4.0,1.0,9-8,2.0,2.0,N,4
18,"Tuesday, Apr 20",TBR,@,KCR,14.0,7.0,10-8,2.0,2.0,N,5
19,"Wednesday, Apr 21",TBR,@,KCR,8.0,9.0,10-9,2.0,2.0,N,-1
20,"Friday, Apr 23",TBR,Home,TOR,3.0,5.0,10-10,2.0,2.5,N,-2
21,"Saturday, Apr 24",TBR,Home,TOR,5.0,3.0,11-10,2.0,1.5,N,1
22,"Sunday, Apr 25",TBR,Home,TOR,0.0,1.0,11-11,2.0,2.5,D,-1
23,"Monday, Apr 26",TBR,Home,OAK,1.0,2.0,11-12,2.0,3.0,N,-2
24,"Tuesday, Apr 27",TBR,Home,OAK,4.0,3.0,12-12,2.0,3.0,N,1
25,"Wednesday, Apr 28",TBR,Home,OAK,2.0,0.0,13-12,2.0,3.0,N,2
26,"Thursday, Apr 29",TBR,Home,OAK,2.0,3.0,13-13,2.0,3.0,D,-1
27,"Friday, Apr 30",TBR,Home,HOU,2.0,9.0,13-14,3.0,4.0,N,-2
28,"Saturday, May 1",TBR,Home,HOU,1.0,3.0,13-15,5.0,4.0,D,-3
29,"Sunday, May 2",TBR,Home,HOU,5.0,4.0,14-15,4.0,3.0,D,1
30,"Monday, May 3",TBR,@,LAA,7.0,3.0,15-15,3.0,2.5,N,2
31,"Tuesday, May 4",TBR,@,LAA,8.0,3.0,16-15,2.0,2.5,N,3
32,"Wednesday, May 5",TBR,@,LAA,3.0,1.0,17-15,2.0,1.5,N,4
33,"Thursday, May 6",TBR,@,LAA,8.0,3.0,18-15,2.0,1.5,N,5
34,"Friday, May 7",TBR,@,OAK,1.0,2.0,18-16,2.0,2.5,N,-1
35,"Saturday, May 8",TBR,@,OAK,3.0,6.0,18-17,3.0,3.5,D,-2
36,"Sunday, May 9",TBR,@,OAK,4.0,3.0,19-17,2.0,3.5,D,1
37,"Tuesday, May 11",TBR,Home,NYY,1.0,3.0,19-18,4.0,3.0,N,-1
38,"Wednesday, May 12",TBR,Home,NYY,0.0,1.0,19-19,4.0,3.0,N,-2
39,"Thursday, May 13",TBR,Home,NYY,9.0,1.0,20-19,4.0,3.0,N,1
40,"Friday, May 14",TBR,Home,NYM,3.0,2.0,21-19,4.0,3.0,N,2
41,"Saturday, May 15",TBR,Home,NYM,12.0,5.0,22-19,4.0,3.0,D,3
42,"Sunday, May 16",TBR,Home,NYM,7.0,1.0,23-19,3.0,2.0,D,4
43,"Tuesday, May 18",TBR,@,BAL,13.0,6.0,24-19,3.0,1.0,N,5
44,"Wednesday, May 19",TBR,@,BAL,9.0,7.0,25-19,2.0,1.0,N,6
45,"Thursday, May 20",TBR,@,BAL,10.0,1.0,26-19,2.0,1.0,D,7
46,"Friday, May 21",TBR,@,TOR,9.0,7.0,27-19,2.0,1.0,N,8
47,"Saturday, May 22",TBR,@,TOR,3.0,1.0,28-19,2.0,1.0,N,9
48,"Sunday, May 23",TBR,@,TOR,6.0,4.0,29-19,1.0,Tied,D,10
49,"Monday, May 24",TBR,@,TOR,14.0,8.0,30-19,1.0,up 0.5,D,11
50,"Tuesday, May 25",TBR,Home,KCR,1.0,2.0,30-20,1.0,up 0.5,N,-1
51,"Wednesday, May 26",TBR,Home,KCR,2.0,1.0,31-20,1.0,up 0.5,N,1
52,"Thursday, May 27",TBR,Home,KCR,7.0,2.0,32-20,1.0,up 1.0,D,2
53,"Saturday, May 29",TBR,Home,PHI,5.0,3.0,33-20,1.0,up 0.5,D,3
54,"Sunday, May 30",TBR,Home,PHI,6.0,2.0,34-20,1.0,up 1.0,D,4
55,"Monday, May 31",TBR,@,NYY,3.0,1.0,35-20,1.0,up 2.0,D,5
56,"Tuesday, Jun 1",TBR,@,NYY,3.0,5.0,35-21,1.0,up 2.0,N,-1
57,"Wednesday, Jun 2",TBR,@,NYY,3.0,4.0,35-22,1.0,up 2.0,N,-2
58,"Thursday, Jun 3",TBR,@,NYY,9.0,2.0,36-22,1.0,up 2.0,D,1
59,"Friday, Jun 4",TBR,@,TEX,4.0,5.0,36-23,1.0,up 1.0,N,-1
60,"Saturday, Jun 5",TBR,@,TEX,3.0,0.0,37-23,1.0,up 1.0,D,1
61,"Sunday, Jun 6",TBR,@,TEX,7.0,1.0,38-23,1.0,up 1.0,D,2
62,"Tuesday, Jun 8",TBR,Home,WSN,3.0,1.0,39-23,1.0,up 1.5,N,3
63,"Wednesday, Jun 9",TBR,Home,WSN,7.0,9.0,39-24,1.0,up 1.5,N,-1
64,"Friday, Jun 11",TBR,Home,BAL,4.0,2.0,40-24,1.0,up 1.0,N,1
65,"Saturday, Jun 12",TBR,Home,BAL,5.0,4.0,41-24,1.0,up 2.0,D,2
66,"Sunday, Jun 13",TBR,Home,BAL,7.0,1.0,42-24,1.0,up 3.0,D,3
67,"Monday, Jun 14",TBR,@,CHW,5.0,2.0,43-24,1.0,up 3.0,N,4
68,"Tuesday, Jun 15",TBR,@,CHW,0.0,3.0,43-25,1.0,up 2.0,N,-1
69,"Wednesday, Jun 16",TBR,@,CHW,7.0,8.0,43-26,1.0,up 1.0,D,-2
