,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
23,"Wednesday, Apr 28",TOR,Home,WSN,2.0,8.0,11-12,3.0,4.0,N,-1.0
24,"Friday, Apr 30",TOR,Home,ATL,13.0,5.0,12-12,2.0,3.5,N,1.0
25,"Saturday, May 1",TOR,Home,ATL,6.0,5.0,13-12,2.0,2.5,N,2.0
26,"Sunday, May 2",TOR,Home,ATL,7.0,2.0,14-12,2.0,1.5,D,3.0
27,"Monday, May 3",TOR,@,OAK,4.0,5.0,14-13,2.0,2.0,N,-1.0
28,"Tuesday, May 4",TOR,@,OAK,1.0,4.0,14-14,4.0,3.0,N,-2.0
29,"Wednesday, May 5",TOR,@,OAK,9.0,4.0,15-14,4.0,2.0,N,1.0
30,"Thursday, May 6",TOR,@,OAK,10.0,4.0,16-14,3.0,2.0,D,2.0
31,"Friday, May 7",TOR,@,HOU,4.0,10.0,16-15,3.0,3.0,N,-1.0
32,"Saturday, May 8",TOR,@,HOU,8.0,4.0,17-15,2.0,3.0,N,1.0
33,"Sunday, May 9",TOR,@,HOU,4.0,7.0,17-16,4.0,4.0,D,-1.0
34,"Tuesday, May 11",TOR,@,ATL,5.0,3.0,18-16,3.0,2.5,N,1.0
35,"Wednesday, May 12",TOR,@,ATL,4.0,1.0,19-16,3.0,1.5,N,2.0
36,"Thursday, May 13",TOR,@,ATL,8.0,4.0,20-16,2.0,1.5,D,3.0
37,"Friday, May 14",TOR,Home,PHI,1.0,5.0,20-17,3.0,2.5,N,-1.0
38,"Saturday, May 15",TOR,Home,PHI,4.0,0.0,21-17,3.0,2.5,N,1.0
39,"Sunday, May 16",TOR,Home,PHI,10.0,8.0,22-17,2.0,1.5,D,2.0
40,"Tuesday, May 18",TOR,Home,BOS,8.0,0.0,23-17,2.0,0.5,N,3.0
41,"Wednesday, May 19",TOR,Home,BOS,3.0,7.0,23-18,3.0,1.5,N,-1.0
42,"Thursday, May 20",TOR,Home,BOS,7.0,8.0,23-19,4.0,2.5,N,-2.0
43,"Friday, May 21",TOR,Home,TBR,7.0,9.0,23-20,4.0,3.5,N,-3.0
44,"Saturday, May 22",TOR,Home,TBR,1.0,3.0,23-21,4.0,4.5,N,-4.0
45,"Sunday, May 23",TOR,Home,TBR,4.0,6.0,23-22,4.0,4.5,D,-5.0
46,"Monday, May 24",TOR,Home,TBR,8.0,14.0,23-23,4.0,5.5,D,-6.0
47,"Tuesday, May 25",TOR,@,NYY,6.0,2.0,24-23,4.0,4.5,N,1.0
48,"Thursday, May 27 (1)",TOR,@,NYY,2.0,0.0,25-23,4.0,5.5,D,2.0
49,"Thursday, May 27 (2)",TOR,@,NYY,3.0,5.0,25-24,4.0,5.5,N,-1.0
50,"Friday, May 28",TOR,@,CLE,11.0,2.0,26-24,4.0,5.0,N,1.0
51,"Sunday, May 30 (1)",TOR,@,CLE,4.0,1.0,27-24,4.0,6.0,D,2.0
52,"Sunday, May 30 (2)",TOR,@,CLE,5.0,6.0,27-25,4.0,6.0,N,-1.0
53,"Tuesday, Jun 1",TOR,Home,MIA,5.0,1.0,28-25,4.0,5.5,N,1.0
54,"Wednesday, Jun 2",TOR,Home,MIA,6.0,5.0,29-25,4.0,4.5,N,2.0
55,"Friday, Jun 4",TOR,Home,HOU,1.0,13.0,29-26,4.0,5.0,N,-1.0
56,"Saturday, Jun 5",TOR,Home,HOU,6.0,2.0,30-26,3.0,5.0,D,1.0
57,"Sunday, Jun 6",TOR,Home,HOU,3.0,6.0,30-27,3.0,6.0,D,-1.0
58,"Tuesday, Jun 8",TOR,@,CHW,1.0,6.0,30-28,4.0,7.0,N,-2.0
